,Unnamed: 0,title,ingredients,directions,site,directions_text
10,10,Double Cherry Delight,"('1 (17 oz.) can dark sweet pitted cherries', '1/2 c. ginger ale', '1 (6 oz.) pkg. Jell-O cherry flavor gelatin', '2 c. boiling water', '1/8 tsp. almond extract', '1 c. miniature marshmallows')","('Drain cherries, measuring syrup.', 'Cut cherries in half.', 'Add ginger ale and enough water to syrup to make 1 1/2 cups.', 'Dissolve gelatin in boiling water.', 'Add measured liquid and almond extract. Chill until very thick.', 'Fold in marshmallows and the cherries. Spoon into 6-cup mold.', 'Chill until firm, at least 4 hours or overnight.', 'Unmold.', 'Makes about 5 1/3 cups.')",www.cookbooks.com,"Drain cherries, measuring syrup.
Cut cherries in half.
Add ginger ale and enough water to syrup to make 1 1/2 cups.
Dissolve gelatin in boiling water.
Add measured liquid and almond extract. Chill until very thick.
Fold in marshmallows and the cherries. Spoon into 6-cup mold.
Chill until firm, at least 4 hours or overnight.
Unmold.
Makes about 5 1/3 cups."
11,11,Buckeye Candy,"('1 box powdered sugar', '8 oz. soft butter', '1 (8 oz.) peanut butter', 'paraffin', '12 oz. chocolate chips')","('Mix sugar, butter and peanut butter.', 'Roll into balls and place on cookie sheet.', 'Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler.', 'Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.')",www.cookbooks.com,"Mix sugar, butter and peanut butter.
Roll into balls and place on cookie sheet.
Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler.
Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes."
12,12,Quick Barbecue Wings,"('chicken wings (as many as you need for dinner)', 'flour', 'barbecue sauce (your choice)')","('Clean wings.', 'Flour and fry until done.', 'Place fried chicken wings in microwave bowl.', 'Stir in barbecue sauce.', 'Microwave on High (stir once) for 4 minutes.')",www.cookbooks.com,"Clean wings.
Flour and fry until done.
Place fried chicken wings in microwave bowl.
Stir in barbecue sauce.
Microwave on High (stir once) for 4 minutes."
13,13,Taco Salad Chip Dip,"('8 oz. Ortega taco sauce', '8 oz. sour cream', '8 oz. cream cheese', '1 lb. ground beef', '1 pkg. taco seasoning', 'shredded lettuce', '1 large diced tomato', '1 medium diced onion', '1 large diced green pepper', 'shredded Colby or Cheddar cheese')","('Mix taco sauce, sour cream and cream cheese.', 'Spread on pizza pan.', 'Brown meat.', 'Drain off fat and add taco seasoning.', 'Spread over cream mixture.', 'Layer with raw vegetables.', 'Top with cheese. Serve with chips.')",www.cookbooks.com,"Mix taco sauce, sour cream and cream cheese.
Spread on pizza pan.
Brown meat.
Drain off fat and add taco seasoning.
Spread over cream mixture.
Layer with raw vegetables.
Top with cheese. Serve with chips."
14,14,Pink Stuff(Frozen Dessert)  ,"('1 can pie filling (cherry or strawberry)', '1 can crushed pineapple, drained', '1 can sweetened condensed milk', '1 (8 oz.) container thawed whipped topping', '2 Tbsp. lemon juice')","('Mix all ingredients together.', 'Pour into a 9 x 13-inch pan. Freeze until firm.', 'Allow to set out approximately 15 minutes before serving.')",www.cookbooks.com,"Mix all ingredients together.
Pour into a 9 x 13-inch pan. Freeze until firm.
Allow to set out approximately 15 minutes before serving."
15,15,Fresh Strawberry Pie,"('1 baked pie shell', '1 qt. cleaned strawberries', '1 1/2 c. water', '4 Tbsp. cornstarch', '1 c. sugar', '1/8 tsp. salt', '4 Tbsp. strawberry jello')","('Mix water, cornstarch, sugar and salt in saucepan.', 'Stir constantly and boil until thick and clear.', 'Remove from heat and stir in jello.', 'Set aside to cool.', ""But don't allow it to set. Layer strawberries in baked crust."", 'Pour cooled glaze over. Continue layering berries and glaze.', 'Refrigerate.', 'Serve with whipped cream.')",www.cookbooks.com,"Mix water, cornstarch, sugar and salt in saucepan.
Stir constantly and boil until thick and clear.
Remove from heat and stir in jello.
Set aside to cool.
But don't allow it to set. Layer strawberries in baked crust.
Pour cooled glaze over. Continue layering berries and glaze.
Refrigerate.
Serve with whipped cream."
16,16,Easy German Chocolate Cake,"('1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix', '1/2 pkg. white cake mix without pudding or 1 Jiffy mix', '1/4 c. Wesson oil')","('Mix according to directions and add oil.', 'Bake in 9 x 13-inch pan.')",www.cookbooks.com,"Mix according to directions and add oil.
Bake in 9 x 13-inch pan."
17,17,Broccoli Salad,"('1 large head broccoli (about 1 1/2 lb.)', '10 slices bacon, cooked and crumbled', '5 green onions, sliced or 1/4 c. chopped red onion', '1/2 c. raisins', '1 c. mayonnaise', '2 Tbsp. vinegar', '1/4 c. sugar')","('Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.',)",www.cookbooks.com,"Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings."
18,18,Strawberry Whatever,"('1 lb. frozen strawberries in juice', '1 small can crushed pineapple', '3 ripe bananas', '1 c. chopped pecans', '1 large pkg. strawberry Jell-O', '1 1/2 c. boiling water', '1 pt. sour cream')","('Mix Jell-O in boiling water.', 'Add strawberries, pineapple, crushed bananas and nuts.', 'Spread 1/2 mixture in 13 x 6 1/2-inch pan.', 'Allow to gel in freezer 30 minutes.', 'Add layer of sour cream, then remaining mixture on top.', 'Gel and serve.')",www.cookbooks.com,"Mix Jell-O in boiling water.
Add strawberries, pineapple, crushed bananas and nuts.
Spread 1/2 mixture in 13 x 6 1/2-inch pan.
Allow to gel in freezer 30 minutes.
Add layer of sour cream, then remaining mixture on top.
Gel and serve."
19,19,Eggless Milkless Applesauce Cake,"('3/4 c. sugar', '1/2 c. shortening', '1 1/2 c. applesauce', '3 level tsp. soda', '1 tsp. each: cinnamon, cloves and nutmeg', '2 c. sifted flour', '1 c. raisins', '1 c. nuts')","('Mix Crisco with applesauce, nuts and raisins.', 'Sift dry ingredients and add.', 'Mix well.', 'Put in a greased and floured loaf pan or tube pan.', 'Bake in loaf pan at 350° to 375° for 45 to 60 minutes, layer pan at 375° for 20 minutes or tube pan at 325° for 1 hour.')",www.cookbooks.com,"Mix Crisco with applesauce, nuts and raisins.
Sift dry ingredients and add.
Mix well.
Put in a greased and floured loaf pan or tube pan.
Bake in loaf pan at 350° to 375° for 45 to 60 minutes, layer pan at 375° for 20 minutes or tube pan at 325° for 1 hour."
20,20,"Grandma Hanrath'S Banana Breadfort Collins, Colorado  ","('1 c. sugar', '1/2 c. shortening', '2 eggs (add one at a time)', '1 tsp. salt', '2 tsp. soda', '2 c. flour', '1/4 c. nuts', '2 over-ripe bananas (chopped)')","('Cream sugar and shortening.', 'Add eggs, salt and soda, then bananas and flour.', 'Add nuts.', 'Mix well.', 'Bake in loaf pan at 350° for 1 hour.')",www.cookbooks.com,"Cream sugar and shortening.
Add eggs, salt and soda, then bananas and flour.
Add nuts.
Mix well.
Bake in loaf pan at 350° for 1 hour."
21,21,Chocolate Frango Mints,"(""1 pkg. devil's food cake mix"", '1 pkg. chocolate fudge pudding mix (instant)', '8 oz. sour cream', '3/4 c. water', '1/2 c. Wesson oil', '4 eggs', '6 oz. chopped Frango mints')","('Mix ingredients together for 5 minutes.', 'Scrape bowl often. Last fold in chocolate chip mints.', 'Bake at 350° for 35 to 40 minutes or until done (cake mix directions).')",www.cookbooks.com,"Mix ingredients together for 5 minutes.
Scrape bowl often. Last fold in chocolate chip mints.
Bake at 350° for 35 to 40 minutes or until done (cake mix directions)."
22,22,Cuddy Farms Marinated Turkey,"('2 c. 7-Up or Sprite', '1 c. vegetable oil', '1 c. Kikkoman soy sauce', 'garlic salt')","('Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes.',)",www.cookbooks.com,"Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes."
23,23,Spaghetti Sauce To Can,"('1/2 bushel tomatoes', '1 c. oil', '1/4 c. minced garlic', '6 cans tomato paste', '3 peppers (2 sweet and 1 hot)', '1 1/2 c. sugar', '1/2 c. salt', '1 Tbsp. sweet basil', '2 Tbsp. oregano', '1 tsp. Italian seasoning')","('Cook ground or chopped peppers and onions in oil for 1/2 hour. Cook tomatoes and garlic as for juice.', 'Put through the mill.', '(I use a food processor and do my tomatoes uncooked.', 'I then add the garlic right to the juice.)', 'Add peppers and onions to juice and remainder of ingredients.', 'Cook approximately 1 hour.', 'Put in jars and seal.', 'Yields 7 quarts.')",www.cookbooks.com,"Cook ground or chopped peppers and onions in oil for 1/2 hour. Cook tomatoes and garlic as for juice.
Put through the mill.
(I use a food processor and do my tomatoes uncooked.
I then add the garlic right to the juice.)
Add peppers and onions to juice and remainder of ingredients.
Cook approximately 1 hour.
Put in jars and seal.
Yields 7 quarts."
24,24,Prize-Winning Meat Loaf,"('1 1/2 lb. ground beef', '1 c. tomato juice', '3/4 c. oats (uncooked)', '1 egg, beaten', '1/4 c. chopped onion', '1/4 tsp. pepper', '1 1/2 tsp. salt')","('Mix well.', 'Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan.', 'Bake in preheated moderate oven.', 'Bake at 350° for 1 hour.', 'Let stand 5 minutes before slicing.', 'Makes 8 servings.')",www.cookbooks.com,"Mix well.
Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan.
Bake in preheated moderate oven.
Bake at 350° for 1 hour.
Let stand 5 minutes before slicing.
Makes 8 servings."
25,25,Smothered Round Steak(Servings: 4)  ,"('2 lb. round steak', '1/2 tsp. ground black pepper', '1 tsp. ground white pepper', '1/2 c. vegetable oil', '2 bell peppers, chopped', '1 c. beef stock or water', '2 tsp. salt', '1 tsp. ground red pepper', 'all-purpose flour (dredging)', '3 medium onions, chopped', '1 celery rib, chopped')","('Alex Patout says, ""Smothering is a multipurpose Cajun technique that works wonders with everything from game to snap beans.', ""It's similar to what the rest of the world knows as braising."", 'The ingredients are briefly browned or sauteed, then cooked with a little liquid over a low heat for a long time.""')",www.cookbooks.com,"Alex Patout says, ""Smothering is a multipurpose Cajun technique that works wonders with everything from game to snap beans.
It's similar to what the rest of the world knows as braising.
The ingredients are briefly browned or sauteed, then cooked with a little liquid over a low heat for a long time."""
26,26,Corral Barbecued Beef Steak Strips,"('2 lb. round steak 1/2 to 3/4-inch thick, sliced in strips 1/8-inch thick (or thinner) and 3 1/2 to 4-inches long (easily sliced if partially frozen)', '2 Tbsp. cooking oil', '1 can (15 oz.) tomato sauce', '1/3 c. water', '2 Tbsp. brown sugar', '1 Tbsp. prepared mustard', '1 tbsp. Worcestershire sauce', '1 medium sized onion, thinly sliced')","('Brown strips in cooking oil.', 'Pour off drippings.', 'Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce.', 'Add sauce and onion to meat slices.', 'Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender. Serve over rice or buttered noodles.', 'Yields 6 to 8 servings.')",www.cookbooks.com,"Brown strips in cooking oil.
Pour off drippings.
Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce.
Add sauce and onion to meat slices.
Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender. Serve over rice or buttered noodles.
Yields 6 to 8 servings."
27,27,Easy Fudge,"('1 (14 oz.) can sweetened condensed milk', '1 (12 oz.) pkg. semi-sweet chocolate chips', '1 (1 oz.) sq. unsweetened chocolate (if desired)', '1 1/2 c. chopped nuts (if desired)', '1 tsp. vanilla')","('Butter a square pan, 8 x 8 x 2-inches.', 'Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat.', 'Stir in nuts and vanilla.', 'Spread in pan.')",www.cookbooks.com,"Butter a square pan, 8 x 8 x 2-inches.
Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat.
Stir in nuts and vanilla.
Spread in pan."
28,28,Taco-Filled Green Pepper,"('1 lb. Ground Beef', '1 pkg. taco seasoning', '1 san Kidney beans', '1 onion, chopped', '1 C salsa', '4 green peppers', '1 medium Tomato, chopped', '1/2 C cheddar cheese, shredded', '1/2 C sour cream')","('In a large skillet, brown the ground beef. Drain, stir in taco mix, kidney beans, and salsa. Bring to a boil. Reduce heat, and let simmer for about 5 minutes. Cut peppers in half and clean it. Put peppers in boiling water for 3 minutes- drain- spoon the meat mixture into the green pepper. Put pepper in an ungreased pan. Cover, and bake at 350 degrees for 15 to 20 minutes or until peppers are crispy and filling is heated through. Top with tomatoes, cheese, and sour cream.',)",www.cookbooks.com,"In a large skillet, brown the ground beef. Drain, stir in taco mix, kidney beans, and salsa. Bring to a boil. Reduce heat, and let simmer for about 5 minutes. Cut peppers in half and clean it. Put peppers in boiling water for 3 minutes- drain- spoon the meat mixture into the green pepper. Put pepper in an ungreased pan. Cover, and bake at 350 degrees for 15 to 20 minutes or until peppers are crispy and filling is heated through. Top with tomatoes, cheese, and sour cream."
29,29,One Hour Rolls,"('1 c. milk', '2 Tbsp. sugar', '1 pkg. dry yeast', '1 Tbsp. salt', '3 Tbsp. Crisco oil', '2 c. plain flour')","('Put flour into a large mixing bowl.', 'Combine sugar, milk, salt and oil in a saucepan and heat to boiling; remove from heat and let cool to lukewarm.', 'Add yeast and mix well.', 'Pour into flour and stir.', 'Batter will be sticky.', 'Roll out batter on a floured board and cut with biscuit cutter.', 'Lightly brush tops with melted oleo and fold over.', 'Place rolls on a cookie sheet, put in a warm place and let rise for 1 hour.', 'Bake at 350° for about 20 minutes. Yield: 2 1/2 dozen.')",www.cookbooks.com,"Put flour into a large mixing bowl.
Combine sugar, milk, salt and oil in a saucepan and heat to boiling; remove from heat and let cool to lukewarm.
Add yeast and mix well.
Pour into flour and stir.
Batter will be sticky.
Roll out batter on a floured board and cut with biscuit cutter.
Lightly brush tops with melted oleo and fold over.
Place rolls on a cookie sheet, put in a warm place and let rise for 1 hour.
Bake at 350° for about 20 minutes. Yield: 2 1/2 dozen."
30,30,Punch Bowl Fruit Salad,"('2 large cans sliced peaches', '2 large cans fruit cocktail', '1 large can diced pineapple', '1 qt. fresh strawberries', '2 red apples', '2 yellow apples', '4 large ripe bananas', '1 lb. white grapes', '1 lb. purple grapes')","('In a 6-quart punch bowl mix all of the cans of fruit, juice and all.', 'Clean and slice berries.', 'Wash and slice apples; leave peeling on apples.', 'Dice apples.', 'Slice bananas.', 'Wash and cut grapes in half.', 'Mix all together.', 'Nuts or other fruit may be added.')",www.cookbooks.com,"In a 6-quart punch bowl mix all of the cans of fruit, juice and all.
Clean and slice berries.
Wash and slice apples; leave peeling on apples.
Dice apples.
Slice bananas.
Wash and cut grapes in half.
Mix all together.
Nuts or other fruit may be added."
31,31,Summer Chicken,"('1 pkg. chicken cutlets', '1/2 c. oil', '1/3 c. red vinegar', '2 Tbsp. oregano', '2 Tbsp. garlic salt')","('Double recipe for more chicken.',)",www.cookbooks.com,Double recipe for more chicken.
32,32,Cherry Pizza,"('2 cans cherry pie mix', '1 box deluxe white cake mix', '1 stick butter', '1 c. ground nuts')","('Grease a 9 x 12-inch cake pan.', 'Spread cherry pie mix.', 'Sift cake mix and spread it dry over the cherries.', 'Top with ground nuts.', 'Melt butter and pour over top.', 'Bake 45 minutes in a 350° oven.')",www.cookbooks.com,"Grease a 9 x 12-inch cake pan.
Spread cherry pie mix.
Sift cake mix and spread it dry over the cherries.
Top with ground nuts.
Melt butter and pour over top.
Bake 45 minutes in a 350° oven."
33,33,Potato And Cheese Pie,"('3 eggs', '1 tsp. salt', '1/4 tsp. pepper', '2 c. half and half', '3 c. potatoes, shredded coarse', '1 c. Cheddar cheese, coarsely shredded', '1/3 c. green onions')","('Beat eggs, salt and pepper until well blended.', 'Stir in half and half, potatoes and onions.', 'Pour into well-greased 8-inch baking dish.', 'Bake in a 400° oven for 35 to 40 minutes, or until knife inserted in center comes out clean and potatoes are tender. Cool on rack 5 minutes; cut into squares.', 'Makes 4 large servings.')",www.cookbooks.com,"Beat eggs, salt and pepper until well blended.
Stir in half and half, potatoes and onions.
Pour into well-greased 8-inch baking dish.
Bake in a 400° oven for 35 to 40 minutes, or until knife inserted in center comes out clean and potatoes are tender. Cool on rack 5 minutes; cut into squares.
Makes 4 large servings."
34,34,Tuna Macaroni Casserole,"('1 box macaroni and cheese', '1 can tuna, drained', '1 small jar pimentos', '1 medium onion, chopped')","('Prepare macaroni and cheese as directed.', 'Add drained tuna, pimento and onion.', 'Mix.', 'Serve hot or cold.')",www.cookbooks.com,"Prepare macaroni and cheese as directed.
Add drained tuna, pimento and onion.
Mix.
Serve hot or cold."
35,35,Artichoke Dip,"('2 cans or jars artichoke hearts', '1 c. mayonnaise', '1 c. Parmesan cheese')","('Drain artichokes and chop.', 'Mix with mayonnaise and Parmesan cheese.', 'After well mixed, bake, uncovered, for 20 to 30 minutes at 350°.', 'Serve with crackers.')",www.cookbooks.com,"Drain artichokes and chop.
Mix with mayonnaise and Parmesan cheese.
After well mixed, bake, uncovered, for 20 to 30 minutes at 350°.
Serve with crackers."
36,36,Broccoli Dip For Crackers,"('16 oz. sour cream', '1 pkg. dry vegetable soup mix', '10 oz. pkg. frozen chopped broccoli, thawed and drained', '4 to 6 oz. Cheddar cheese, grated')","('Mix together sour cream, soup mix, broccoli and half of cheese.', 'Sprinkle remaining cheese on top.', 'Bake at 350° for 30 minutes, uncovered.', 'Serve hot with vegetable crackers.')",www.cookbooks.com,"Mix together sour cream, soup mix, broccoli and half of cheese.
Sprinkle remaining cheese on top.
Bake at 350° for 30 minutes, uncovered.
Serve hot with vegetable crackers."
37,37,Summer Spaghetti,"('1 lb. very thin spaghetti', '1/2 bottle McCormick Salad Supreme (seasoning)', '1 bottle Zesty Italian dressing')","('Prepare spaghetti per package.', 'Drain.', 'Melt a little butter through it.', 'Marinate overnight in Salad Supreme and Zesty Italian dressing.', 'Just before serving, add cucumbers, tomatoes, green peppers, mushrooms, olives or whatever your taste may want.')",www.cookbooks.com,"Prepare spaghetti per package.
Drain.
Melt a little butter through it.
Marinate overnight in Salad Supreme and Zesty Italian dressing.
Just before serving, add cucumbers, tomatoes, green peppers, mushrooms, olives or whatever your taste may want."
38,38,Pear-Lime Salad,"('1 (16 oz.) can pear halves, undrained', '1 (3 oz.) pkg. lime gelatin', '1 (8 oz.) pkg. cream cheese, softened', '1 (8 oz.) carton lemon yogurt')","('Drain pears, reserving juice.', 'Bring juice to a boil, stirring constantly.', 'Remove from heat.', 'Add gelatin, stirring until dissolved.', 'Let cool slightly.', 'Coarsely chop pear halves. Combine cream cheese and yogurt; beat at medium speed of electric mixer until smooth.', 'Add gelatin and beat well.', 'Stir in pears.', 'Pour into an oiled 4-cup mold or Pyrex dish.', 'Chill.')",www.cookbooks.com,"Drain pears, reserving juice.
Bring juice to a boil, stirring constantly.
Remove from heat.
Add gelatin, stirring until dissolved.
Let cool slightly.
Coarsely chop pear halves. Combine cream cheese and yogurt; beat at medium speed of electric mixer until smooth.
Add gelatin and beat well.
Stir in pears.
Pour into an oiled 4-cup mold or Pyrex dish.
Chill."
